rally,serve,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player,id,train,outcome,gender
4,1,B,35.51504197,-0.021724541,3.474765783,6.797621362,FALSE,FALSE,1.467570101,14.1758,1.1448,13.6704,0.233,32.31359152,1.350532511,2.449182398,0.705435176,12.5628,2.0724,TRUE,F,0.445317963,FALSE,5718,1,UE,mens
4,2,B,33.38264003,1.114202377,2.540801064,2.608708239,FALSE,TRUE,2.311931357,12.7396,4.6258,12.6358,2.3162,34.06078799,0.760498827,0.583291279,3.856600252,12.3544,5.1124,FALSE,B,0.432433973,FALSE,371,1,FE,mens
23,1,B,22.3166902,-0.254046113,3.533166304,9.435748889,FALSE,FALSE,3.903728131,15.3782,1.4336,13.6996,2.0908,39.80662844,0.377732117,1.11525031,2.908891607,13.862,1.6564,FALSE,F,0.397537762,TRUE,7948,1,FE,mens
9,1,F,36.83730892,0.76669374,0.586884522,3.342180026,TRUE,FALSE,0.583745287,13.7308,0.0312,13.1492,0.0188,25.01881759,1.23903276,3.256694687,0.557553657,14.2596,0.1606,TRUE,B,0.671984248,TRUE,9312,1,UE,mens
4,1,B,35.54420828,0.116161877,0.918724921,5.499118581,FALSE,FALSE,2.333455892,15.1992,1.7596,14.131,0.315,36.79097938,0.165731163,1.431145985,3.945317217,11.3658,1.1082,FALSE,F,0.340411071,FALSE,7667,1,W,mens
10,1,B,39.01218641,0.34988868,0.48509783,3.264708218,TRUE,FALSE,0.804337491,13.1496,0.6864,13.8902,1.0002,29.99418713,0.486882911,2.077334887,5.007206998,13.422,2.0316,TRUE,F,0.533949676,FALSE,9079,1,UE,mens
7,1,B,34.58567177,1.234043937,3.083444775,1.22227892,FALSE,TRUE,2.618519742,14.1286,2.6224,14.0394,0.0054,34.15489353,0.197445017,1.646987968,5.729710498,12.2528,1.1038,FALSE,F,0.409774379,TRUE,2598,1,UE,mens
3,1,F,34.44574154,0.387827529,0.873201831,1.992688921,FALSE,FALSE,1.925742454,11.3576,2.465,11.4776,0.543,34.61307588,0.227801887,2.162768951,5.043818956,12.4838,4.5872,FALSE,F,0.419794174,TRUE,7945,1,W,mens
11,2,F,21.83017176,0.541134558,0.494508176,0.346735346,FALSE,TRUE,3.074409478,6.649,0.9376,8.889,1.1682,32.49363487,0.490669827,2.218269216,5.738677488,15.8012,2.8932,FALSE,V,0.582123372,TRUE,231,1,UE,mens
20,1,F,45.37917231,0.265429822,1.307052938,5.119994125,FALSE,FALSE,4.842517973,8.5002,1.3718,13.3046,0.7654,18.34311859,4.346790638,3.397721959,4.251290145,13.7284,1.6916,TRUE,F,1.225011081,FALSE,327,1,W,mens
9,1,F,33.44386599,2.632042105,0.61630902,4.149696577,TRUE,TRUE,4.015533449,16.6772,2.8474,15.5234,0.9988,35.64824406,0.414880529,0.589479911,2.325037328,10.3184,2.828,FALSE,F,0.31251411,TRUE,7770,1,FE,mens
19,1,B,24.42012978,1.292726559,0.414690816,0.243340222,FALSE,TRUE,1.942537269,12.706,2.0772,14.6008,1.6492,25.61482377,0.364401135,2.123593466,3.667510227,13.2598,2.0954,FALSE,B,0.616969139,TRUE,416,1,UE,mens
9,2,B,38.16569869,0.25728657,0.925475136,2.924865606,TRUE,FALSE,1.705334278,13.1814,3.0902,13.2626,1.3868,33.39464694,0.228299371,1.787083212,6.939305333,15.1124,3.3652,FALSE,F,0.559742543,TRUE,832,1,UE,mens
6,2,F,34.75203111,1.876284521,3.392769252,2.432075114,FALSE,TRUE,1.948458365,16.0638,3.6182,15.0704,1.942,37.12666152,1.077967114,0.988987774,2.065229016,14.2862,1.6954,FALSE,F,0.465237825,FALSE,336,1,UE,mens
5,2,F,37.3212106,1.13168915,0.757593507,0.719832538,FALSE,TRUE,2.853524193,13.4582,2.8162,13.3086,0.0334,35.63532628,0.535264216,1.751000289,4.539789989,14.8152,2.3472,TRUE,F,0.479232529,TRUE,695,1,UE,mens
7,1,U,36.9847598,-0.080510712,2.604461136,7.903261911,FALSE,FALSE,2.700817424,17.076,1.5778,15.767,0.7846,43.21695626,0.053282866,1.362989897,4.762682802,10.851,3.9264,FALSE,F,0.37118915,TRUE,1644,1,UE,mens
7,1,F,36.14041169,-0.018193715,2.538348528,7.412126538,FALSE,FALSE,3.490040229,13.0162,1.4034,13.2346,2.0798,35.76524483,0.131911459,2.9227508,7.027153909,15.0244,0.7144,TRUE,F,0.502078152,TRUE,1202,1,UE,mens
3,1,F,36.09785757,0.440323292,1.963689876,2.293355029,FALSE,FALSE,1.032713494,11.1582,1.7734,11.3172,0.753,31.84374468,0.328617856,3.103084815,5.60314957,12.667,4.259,FALSE,F,0.457435564,TRUE,3118,1,W,mens
7,1,F,8.28545661,0.116761325,2.244444593,10.16634711,FALSE,FALSE,1.163080909,3.5254,0.1904,4.106,0.8174,27.06714775,0.524027647,2.637368707,8.914173503,13.706,2.2566,TRUE,V,0.650771412,TRUE,6659,1,W,mens
5,1,F,13.83595824,0.842146751,0.850341698,6.539742633,FALSE,FALSE,2.74882134,4.163,1.3032,5.717,0.9642,27.81622278,0.74600441,1.669477423,8.005974687,11.4186,3.1822,FALSE,V,0.455130819,TRUE,953,1,W,mens
12,2,F,40.89640512,0.492491095,0.160002508,4.235212353,TRUE,FALSE,2.166336419,15.6596,4.7528,15.1284,2.6526,38.95661883,0.856383075,0.337310454,2.836556228,13.4194,3.1156,FALSE,F,0.414613377,FALSE,7809,1,FE,mens
3,1,F,31.69176844,0.850040845,0.834551505,2.617415252,FALSE,TRUE,3.066607565,9.4632,3.3148,11.3168,0.8718,23.99531726,0.212454787,1.800272103,7.384606731,12.7048,3.5192,FALSE,U,0.643557157,TRUE,6516,1,UE,mens
7,1,B,37.27449048,0.302867747,0.192148572,3.302002715,FALSE,FALSE,1.122338416,12.6064,0.363,13.1128,1.3646,30.28571337,0.737787562,3.085550281,4.66234299,14.657,1.7274,FALSE,F,0.575441371,TRUE,1361,1,W,mens
4,1,F,24.50795539,4.280510941,1.632407468,0.835273498,FALSE,TRUE,3.492689903,14.8838,3.2836,14.0138,0.099,33.61238647,0.343458498,1.143456373,2.652890175,7.131,0.9516,FALSE,F,0.278534704,FALSE,9392,1,FE,mens
16,2,U,27.96793485,-0.946991881,0.544084064,0.827361653,FALSE,TRUE,1.429066842,13.4144,2.3858,13.0424,1.006,34.05982508,0.505341321,3.724409888,2.553368765,12.4492,2.2526,FALSE,U,0.422594777,FALSE,4599,1,UE,mens
4,2,V,31.63469313,0.005702815,3.384268194,11.87468575,FALSE,FALSE,1.025590425,14.422,0.7036,13.4574,0.3552,32.95465356,0.69703106,2.811082177,2.64385299,12.5076,0.1248,FALSE,F,0.422669228,FALSE,4093,1,W,mens
